S No,Vehicle_Class,CNG ONLY,DIESEL,DIESEL/HYBRID,DI-METHYL ETHER,DUAL DIESEL/BIO CNG,DUAL DIESEL/CNG,DUAL DIESEL/LNG,ELECTRIC(BOV),ETHANOL,FUEL CELL HYDROGEN,LNG,LPG ONLY,METHANOL,NOT APPLICABLE,PETROL,PETROL/CNG,PETROL/ETHANOL,PETROL/HYBRID,PETROL/LPG,PETROL/METHANOL,SOLAR,     TOTAL     ,State
14.0,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Haryana
15.0,CRANE MOUNTED VEHICLE,14,11903,0,0,0,0,0,2,0,0,0,0,0,18,9,4,0,0,0,0,6,11956,Haryana
16.0,DUMPER,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Haryana
17.0,EARTH MOVING EQUIPMENT,2,11981,0,0,0,7,0,2,0,0,0,0,0,14,6,0,0,0,0,0,1,12013,Haryana
18.0,EDUCATIONAL INSTITUTION BUS,1657,11378,0,0,0,0,0,1,0,0,0,0,0,1,86,31,0,0,2,0,2,13158,Haryana
19.0,E-RICKSHAW(P),0,16,0,0,0,0,0,21142,0,0,0,0,0,24,0,0,0,0,0,0,0,21182,Haryana
20.0,E-RICKSHAW WITH CART (G),0,4,0,0,0,0,0,2272,0,0,0,0,0,1,0,0,0,0,0,0,0,2277,Haryana
21.0,EXCAVATOR (COMMERCIAL),6,673,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,0,692,Haryana
22.0,EXCAVATOR (NT),0,6046,0,0,0,0,0,1,0,0,0,0,0,45,5,1,0,0,0,0,0,6098,Haryana
23.0,FIRE FIGHTING VEHICLE,0,308,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,312,Haryana
24.0,FIRE TENDERS,1,76,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,79,Haryana
25.0,FORK LIFT,0,480,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,483,Haryana
26.0,GOODS CARRIER,47472,543706,0,0,0,1,0,123,0,0,0,20,0,3633,23973,4624,0,0,54,0,52,623658,Haryana
27.0,HARVESTER,0,9476,19,0,0,0,0,1,0,0,0,0,0,50,44,1,0,0,1,0,1,9593,Haryana
28.0,HEARSES,3,158,0,0,0,0,0,0,0,0,0,1,0,5,41,20,0,0,1,0,0,229,Haryana
29.0,LIBRARY VAN,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,Haryana
30.0,LUXURY CAB,0,115,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,120,Haryana
31.0,MAXI CAB,26,2384,11,0,0,0,0,0,0,0,0,0,0,3,114,867,0,8,0,0,0,3413,Haryana
32.0,M-CYCLE/SCOOTER,6,1732,2,0,0,0,0,13476,0,0,0,3,0,128724,6975757,333,0,1,42,0,61,7120137,Haryana
33.0,M-CYCLE/SCOOTER-WITH SIDE CAR,0,398,0,0,0,0,0,5,0,0,0,0,0,12,4642,29,0,0,6,0,0,5092,Haryana
34.0,MOBILE CANTEEN,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Haryana
35.0,MOBILE CLINIC,4,144,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,166,Haryana
36.0,MOBILE WORKSHOP,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,Haryana
37.0,MOPED,1,59,0,0,0,0,0,318,0,0,0,0,0,654,57721,12,0,0,1,0,0,58766,Haryana
38.0,MOTOR CAB,273,38422,298,0,0,0,0,400,0,0,0,3,0,74,4918,58195,0,379,38,0,4,103004,Haryana
39.0,MOTOR CAR,321,998217,7569,0,0,0,0,286,0,0,0,948,0,21752,1243890,301385,0,17725,24946,0,47,2617086,Haryana
40.0,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,0,0,0,0,0,6,0,0,0,0,0,0,419,0,0,0,0,0,0,425,Haryana
41.0,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,0,0,0,0,0,47,0,0,0,0,0,0,3143,1,0,0,0,0,0,3191,Haryana
42.0,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Haryana
43.0,MOTORISED CYCLE (CC > 25CC),0,0,0,0,0,0,0,658,0,0,0,0,0,0,897,0,0,0,0,0,0,1555,Haryana
44.0,OMNI BUS,8,369,0,0,0,0,0,0,0,0,0,1,0,2,72,14,0,0,1,0,0,467,Haryana
45.0,OMNI BUS (PRIVATE USE),0,19,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,34,Haryana
46.0,POWER TILLER,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Haryana
47.0,POWER TILLER (COMMERCIAL),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Haryana
48.0,PRIVATE SERVICE VEHICLE,0,32,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,46,Haryana
49.0,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),0,66,1,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,93,Haryana
50.0,QUADRICYCLE (COMMERCIAL),6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Haryana
51.0,RECOVERY VEHICLE,45,287,0,0,0,1,0,0,0,0,0,0,0,0,29,5,0,1,0,0,0,368,Haryana
52.0,ROAD ROLLER,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86,Haryana
53.0,SNORKED LADDERS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Haryana
54.0,THREE WHEELER (GOODS),2308,21796,0,0,0,0,0,552,0,0,0,0,0,16,26,1103,0,0,0,0,1,25802,Haryana
55.0,THREE WHEELER (PASSENGER),28733,103907,0,0,0,0,0,1536,0,0,0,20,0,75,68,46878,0,0,606,0,6,181829,Haryana
56.0,THREE WHEELER (PERSONAL),0,165,0,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0,0,0,210,Haryana
57.0,TOWER WAGON,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,Haryana
58.0,TOW TRUCK,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Haryana
59.0,TRACTOR (COMMERCIAL),0,1201,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1216,Haryana
60.0,TRAILER (AGRICULTURAL),0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,Haryana
61.0,TRAILER (COMMERCIAL),1,89,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,474,Haryana
62.0,TRAILER FOR PERSONAL USE,0,469,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,518,Haryana
63.0,TREE TRIMMING VEHICLE,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Haryana
64.0,VEHICLE FITTED WITH COMPRESSOR,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Haryana
65.0,VEHICLE FITTED WITH GENERATOR,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Haryana
66.0,VEHICLE FITTED WITH RIG,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,Haryana
67.0,X-RAY VAN,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,Haryana
1.0,ADAPTED VEHICLE,0,34,0,0,0,0,0,1,0,0,0,0,0,0,429,0,0,0,0,0,0,464,Bihar
2.0,AGRICULTURAL TRACTOR,0,68256,0,0,0,0,0,1,0,0,0,0,0,75,118,1,0,0,21,0,2,68474,Bihar
3.0,AMBULANCE,0,1780,0,0,0,0,0,0,0,0,0,0,0,6,635,2,0,0,0,0,0,2423,Bihar
4.0,ARTICULATED VEHICLE,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,Bihar
5.0,AUXILIARY TRAILER,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,Bihar
6.0,BREAKDOWN VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Bihar
7.0,BUS,183,40500,3,0,0,0,0,27,0,0,0,0,0,644,123,1,0,0,15,0,1,41497,Bihar
8.0,CAMPER VAN / TRAILER,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,Bihar
9.0,CAMPER VAN / TRAILER (PRIVATE USE),0,2315,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,2360,Bihar
10.0,CASH VAN,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Bihar
11.0,CONSTRUCTION EQUIPMENT VEHICLE,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5853,Bihar
12.0,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bihar
13.0,CRANE MOUNTED VEHICLE,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,Bihar
14.0,DUMPER,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Bihar
15.0,EARTH MOVING EQUIPMENT,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Bihar
16.0,E-RICKSHAW(P),1,120,0,0,0,0,0,78674,0,0,0,0,0,354,7,0,0,0,0,0,0,79156,Bihar
17.0,E-RICKSHAW WITH CART (G),0,6,0,0,0,0,0,1473,0,0,0,0,0,8,0,0,0,0,0,0,0,1487,Bihar
18.0,EXCAVATOR (COMMERCIAL),0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Bihar
19.0,FIRE FIGHTING VEHICLE,0,134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135,Bihar
20.0,FIRE TENDERS,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Bihar
21.0,FORK LIFT,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bihar
22.0,GOODS CARRIER,386,314413,3,0,0,1,0,15,0,0,0,2,0,2372,1519,27,0,0,98,0,3,318839,Bihar
23.0,HARVESTER,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,Bihar
24.0,HEARSES,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Bihar
25.0,LIBRARY VAN,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bihar
26.0,LUXURY CAB,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bihar
27.0,MAXI CAB,0,9249,1,0,0,0,0,0,0,0,0,0,0,2,125,0,0,0,2,0,0,9379,Bihar
28.0,M-CYCLE/SCOOTER,25,2809,0,0,0,0,0,9811,1,0,0,12,6,75,8222573,475,0,0,112,0,68,8235967,Bihar
29.0,M-CYCLE/SCOOTER-WITH SIDE CAR,0,4,0,0,0,0,0,22,0,0,0,0,0,0,11479,0,0,0,0,0,0,11505,Bihar
30.0,MOBILE CANTEEN,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bihar
31.0,MOBILE CLINIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,Bihar
32.0,MOBILE WORKSHOP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,Bihar
33.0,MOPED,0,38,0,0,0,0,0,143,0,0,0,0,0,0,87858,8,0,0,0,0,0,88047,Bihar
34.0,MOTOR CAB,10,98039,26,0,0,0,0,8,0,0,0,0,0,2021,4691,1473,0,34,81,0,0,106383,Bihar
35.0,MOTOR CAR,60,238322,1646,0,0,0,0,194,0,0,0,3,1,86,367879,4447,0,7939,118,0,1,620696,Bihar
36.0,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,1,0,0,22,Bihar
37.0,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,66,Bihar
38.0,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bihar
39.0,MOTORISED CYCLE (CC > 25CC),0,2,0,0,0,0,0,50,0,0,0,0,0,0,3520,0,0,0,0,0,0,3572,Bihar
40.0,OMNI BUS,0,501,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,516,Bihar
41.0,OMNI BUS (PRIVATE USE),0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Bihar
42.0,POWER TILLER (COMMERCIAL),0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bihar
43.0,PRIVATE SERVICE VEHICLE,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,Bihar
44.0,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),0,209,75,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,1,0,0,322,Bihar
45.0,QUADRICYCLE (COMMERCIAL),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bihar
46.0,ROAD ROLLER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bihar
47.0,SEMI-TRAILER (COMMERCIAL),0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bihar
48.0,THREE WHEELER (GOODS),779,49488,0,0,0,0,0,111,0,0,0,0,0,19,274,133,0,0,1,0,0,50805,Bihar
49.0,THREE WHEELER (PASSENGER),17412,364290,0,0,0,0,0,1064,0,0,0,246,0,4557,8139,9223,0,0,247,0,2,405180,Bihar
50.0,THREE WHEELER (PERSONAL),1,54,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,1,0,0,76,Bihar
51.0,TOWER WAGON,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bihar
52.0,TOW TRUCK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bihar
53.0,TRACTOR (COMMERCIAL),3,396035,2,0,0,0,0,13,0,0,0,33,0,3788,1173,3,0,0,19,0,4,401073,Bihar
54.0,TRACTOR-TROLLEY(COMMERCIAL),0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,Bihar
55.0,TRAILER (AGRICULTURAL),0,3764,0,0,0,0,0,2,1,0,0,6,0,10609,50,0,0,0,3,0,0,14435,Bihar
56.0,TRAILER (COMMERCIAL),6,70144,0,0,0,0,0,163,11,0,0,1221,1,94788,508,0,0,0,15,0,2,166859,Bihar
57.0,TRAILER FOR PERSONAL USE,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Bihar
58.0,TREE TRIMMING VEHICLE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bihar
59.0,VEHICLE FITTED WITH COMPRESSOR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bihar
60.0,VEHICLE FITTED WITH RIG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,Bihar
1.0,ADAPTED VEHICLE,0,15,0,0,0,0,0,0,0,0,0,0,0,1,386,2,0,1,1,0,0,406,Uttarakhand
2.0,AGRICULTURAL TRACTOR,0,51864,1,0,0,0,0,0,0,0,0,0,0,33,442,0,0,0,0,0,0,52340,Uttarakhand
3.0,AMBULANCE,0,1538,0,0,0,0,0,0,0,0,0,0,0,3,1043,1,0,0,2,0,0,2587,Uttarakhand
4.0,ANIMAL AMBULANCE,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Uttarakhand
5.0,ARTICULATED VEHICLE,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,Uttarakhand
6.0,BULLDOZER,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Uttarakhand
7.0,BUS,45,21482,0,0,0,0,0,22,0,0,0,0,0,4,246,0,0,0,0,0,0,21799,Uttarakhand
8.0,CAMPER VAN / TRAILER,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,Uttarakhand
9.0,CAMPER VAN / TRAILER (PRIVATE USE),0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,Uttarakhand
10.0,CASH VAN,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,Uttarakhand
11.0,CONSTRUCTION EQUIPMENT VEHICLE,0,669,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,671,Uttarakhand
12.0,CRANE MOUNTED VEHICLE,0,358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,359,Uttarakhand
13.0,DUMPER,1,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,Uttarakhand
14.0,EARTH MOVING EQUIPMENT,0,442,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,443,Uttarakhand
15.0,EDUCATIONAL INSTITUTION BUS,8,821,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,831,Uttarakhand
16.0,E-RICKSHAW(P),0,5,0,0,0,0,0,26455,0,0,0,0,0,131,1,0,0,0,0,0,0,26592,Uttarakhand
17.0,E-RICKSHAW WITH CART (G),0,3,0,0,0,0,0,678,0,0,0,0,0,3,0,0,0,0,0,0,0,684,Uttarakhand
18.0,EXCAVATOR (COMMERCIAL),0,3274,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3279,Uttarakhand
19.0,EXCAVATOR (NT),0,524,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,530,Uttarakhand
20.0,FIRE FIGHTING VEHICLE,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,Uttarakhand
21.0,FIRE TENDERS,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Uttarakhand
22.0,FORK LIFT,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,Uttarakhand
23.0,GOODS CARRIER,847,122958,0,0,0,0,0,1,0,0,0,1,0,19,1796,53,0,0,24,0,0,125699,Uttarakhand
24.0,HARVESTER,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Uttarakhand
25.0,HEARSES,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,Uttarakhand
26.0,LIBRARY VAN,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Uttarakhand
27.0,MAXI CAB,1,31494,4,0,0,0,0,2,0,0,0,0,0,6,1733,6,0,0,6,0,0,33252,Uttarakhand
28.0,M-CYCLE/SCOOTER,1,263,0,0,0,0,0,5508,0,0,0,37,0,245,2400815,65,0,0,3,0,0,2406937,Uttarakhand
29.0,M-CYCLE/SCOOTER-WITH SIDE CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,451,Uttarakhand
30.0,MOBILE CANTEEN,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,Uttarakhand
31.0,MOBILE CLINIC,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,42,Uttarakhand
32.0,MOBILE WORKSHOP,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,Uttarakhand
33.0,MOPED,0,16,0,0,0,0,0,23,0,0,0,1,0,13,44420,3,0,0,0,0,0,44476,Uttarakhand
34.0,MOTOR CAB,1,19381,204,0,0,0,0,22,0,0,0,1,0,11,12043,1492,0,195,22,0,0,33372,Uttarakhand
35.0,MOTOR CAR,7,182478,2566,0,0,0,0,371,0,0,0,18,0,27,442328,4915,0,3215,7942,0,0,643867,Uttarakhand
36.0,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,1,0,0,0,0,0,8,0,0,0,0,0,0,2959,0,0,0,0,0,0,2968,Uttarakhand
37.0,MOTORISED CYCLE (CC > 25CC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,66,Uttarakhand
38.0,OMNI BUS,0,674,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,675,Uttarakhand
39.0,OMNI BUS (PRIVATE USE),0,1092,0,0,0,0,0,0,0,0,0,0,0,0,359,4,0,0,36,0,0,1491,Uttarakhand
40.0,POWER TILLER (COMMERCIAL),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Uttarakhand
41.0,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Uttarakhand
42.0,RECOVERY VEHICLE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Uttarakhand
43.0,ROAD ROLLER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Uttarakhand
44.0,THREE WHEELER (GOODS),155,5685,1,0,0,0,0,3,0,0,0,0,0,3,233,4,0,0,0,0,0,6084,Uttarakhand
45.0,THREE WHEELER (PASSENGER),1175,23828,0,0,0,0,0,306,0,0,0,113,0,7,4595,426,0,0,3157,0,0,33607,Uttarakhand
46.0,THREE WHEELER (PERSONAL),0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,Uttarakhand
47.0,TOWER WAGON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Uttarakhand
48.0,TOW TRUCK,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Uttarakhand
49.0,TRACTOR (COMMERCIAL),0,8504,1,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,8518,Uttarakhand
50.0,TRACTOR-TROLLEY(COMMERCIAL),0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,Uttarakhand
51.0,TRAILER (AGRICULTURAL),0,65,0,0,0,0,0,0,0,0,0,0,0,99,4,0,0,0,0,0,0,168,Uttarakhand
52.0,TRAILER (COMMERCIAL),0,118,0,0,0,0,0,0,0,0,0,0,0,10870,1,0,0,0,0,0,0,10989,Uttarakhand
53.0,TRAILER FOR PERSONAL USE,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,10,Uttarakhand
54.0,TREE TRIMMING VEHICLE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Uttarakhand
55.0,VEHICLE FITTED WITH COMPRESSOR,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Uttarakhand
56.0,VEHICLE FITTED WITH GENERATOR,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Uttarakhand
57.0,VEHICLE FITTED WITH RIG,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,Uttarakhand
58.0,X-RAY VAN,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Uttarakhand
1.0,ADAPTED VEHICLE,2,19,0,0,0,0,0,1,0,0,0,0,0,4,799,0,0,0,8,0,0,833,Andhra Pradesh
2.0,AGRICULTURAL TRACTOR,0,71906,0,0,0,0,0,1,0,0,0,1,0,377,174,0,0,0,1,0,2,72462,Andhra Pradesh
3.0,AMBULANCE,0,1562,0,0,0,0,0,0,0,0,0,0,0,6,1219,3,0,0,69,0,0,2859,Andhra Pradesh
4.0,ANIMAL AMBULANCE,0,36,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,66,Andhra Pradesh
5.0,ARTICULATED VEHICLE,0,4305,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,4334,Andhra Pradesh
6.0,BREAKDOWN VAN,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,Andhra Pradesh
7.0,BULLDOZER,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Andhra Pradesh
8.0,BUS,278,10872,0,0,0,0,0,0,0,0,0,0,0,16,126,22,0,0,0,0,0,11314,Andhra Pradesh
9.0,CAMPER VAN / TRAILER (PRIVATE USE),0,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,46,Andhra Pradesh
